participant_id,session_timestamp,session_uuid,unix_timestamp_ms,event_type,game_mode,game_phase,target_id,target_type,target_x_normalized,target_y_normalized,target_x_pixels,target_y_pixels,target_index,game_score_at_event
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451506335,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_006,hand-left,0.8695518130045148,0.2878679656440358,1252.1546107265012,377.39490295933086,35,35
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451506335,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_007,hand-left,0.7828427124746191,0.19999999999999998,1127.2935059634515,262.2,36,35
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451506715,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_007,hand-left,0.7828427124746191,0.19999999999999998,1127.2935059634515,262.2,36,36
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451506715,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_008,hand-left,0.653073372946036,0.2878679656440357,940.4256570422917,377.3949029593308,37,36
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451507261,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_008,hand-left,0.653073372946036,0.2878679656440357,940.4256570422917,377.3949029593308,37,37
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451507261,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_009,hand-left,0.5000000000000001,0.4999999999999999,720.0000000000001,655.4999999999999,38,37
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451507580,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_009,hand-left,0.5000000000000001,0.4999999999999999,720.0000000000001,655.4999999999999,38,38
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451507580,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_010,hand-left,0.34692662705396415,0.7121320343559642,499.5743429577084,933.6050970406691,39,38
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451508229,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_010,hand-left,0.34692662705396415,0.7121320343559642,499.5743429577084,933.6050970406691,39,39
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451508229,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_011,hand-left,0.217157287525381,0.7999999999999999,312.70649403654863,1048.8,40,39
